entry_index,entry_price,outcome,pnl
16,204000.0,loss,-3464.285714285714
170,207500.0,timeout,1250.0
171,208750.0,timeout,-1250.0
205,202000.0,loss,-4342.857142857143
226,197600.0,loss,-3815.7142857142853
240,179800.0,win,4721.4285714285725
308,193300.0,timeout,1400.0
309,194400.0,timeout,750.0
352,189200.0,win,650.0
353,189800.0,loss,-3820.0
454,171300.0,timeout,-3400.0
469,168300.0,win,864.2857142857133
504,167600.0,win,-1042.857142857143
505,168500.0,win,-957.1428571428569
509,171600.0,win,92.85714285714312
510,172250.0,win,392.8571428571431
511,173000.0,loss,-3777.142857142857
512,172800.0,loss,-3897.142857142857
517,187100.0,timeout,-800.0
518,186200.0,timeout,200.0
519,186500.0,timeout,500.0
562,184700.0,timeout,-400.0
804,184200.0,win,-946.4285714285713
873,188100.0,win,-582.1428571428569
874,188300.0,win,-625.0
875,188800.0,win,-646.4285714285713
938,196750.0,loss,-2945.714285714286
947,195400.0,win,-1300.0
1020,200500.0,timeout,-2500.0
1086,200000.0,win,-196.42857142857156
1173,187100.0,timeout,100.0
1227,187900.0,loss,-3065.714285714286
1232,187000.0,win,-1085.7142857142858
1233,186800.0,win,-1064.2857142857142
1497,175600.0,win,-914.2857142857142
1595,168800.0,timeout,-2000.0
1596,168100.0,win,832.1428571428573
1597,168400.0,win,810.7142857142867
1656,168100.0,win,-485.7142857142858
1657,168050.0,win,-485.7142857142858
1666,178100.0,timeout,-1300.0
1728,189000.0,loss,-3254.285714285714
1734,190200.0,loss,-3310.0
1735,190500.0,loss,-3318.5714285714284
1805,176800.0,loss,-3331.4285714285716
1807,176000.0,loss,-3374.285714285714
1808,175300.0,win,-196.42857142857156
1870,185900.0,loss,-3198.5714285714284
1871,186500.0,loss,-3155.714285714286
1879,186700.0,win,-657.1428571428569
1880,186600.0,win,-721.4285714285713
2023,195900.0,win,-603.5714285714287
2160,204000.0,win,71.42857142857156
2162,204500.0,loss,-3592.8571428571427
2241,199300.0,timeout,-50.0
2304,202000.0,win,125.0
2309,202000.0,win,232.14285714285688
2380,207000.0,win,-35.71428571428578
2453,210500.0,win,71.42857142857156
2454,210250.0,win,178.57142857142844
2455,212000.0,loss,-3700.0
2456,212500.0,loss,-3807.142857142857
2595,216500.0,win,125.0
2663,218250.0,loss,-3121.4285714285716
2666,218000.0,win,-946.4285714285713
2667,218000.0,win,-785.7142857142858
2671,218750.0,loss,-3228.5714285714284
2731,216000.0,win,-732.1428571428569
2735,217500.0,win,-464.2857142857142
2787,216750.0,timeout,2250.0
2863,217000.0,win,-625.0
2885,219250.0,win,-571.4285714285713
2959,221750.0,win,392.8571428571431
3034,219000.0,timeout,-2000.0
3080,222750.0,win,285.7142857142858
3157,221000.0,win,446.42857142857156
3163,223000.0,win,821.4285714285716
3178,225000.0,timeout,-500.0
3181,225000.0,timeout,250.0
3184,224750.0,timeout,250.0
3185,225250.0,timeout,500.0
3189,226500.0,timeout,0.0
3190,227000.0,timeout,0.0
3235,230500.0,win,-250.0
3241,230500.0,win,71.42857142857156
3245,231500.0,win,285.7142857142858
3246,251500.0,win,7142.857142857143
3247,255500.0,timeout,1000.0
3248,257750.0,timeout,-1750.0
3250,259000.0,timeout,-4000.0
3283,265000.0,win,1089.2857142857133
3371,265000.0,win,1142.8571428571427
3375,266000.0,win,767.8571428571427
3436,265750.0,timeout,-2250.0
3446,265500.0,win,714.2857142857133
3800,276500.0,loss,-4321.428571428572
